sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,recommendationKey,grossProfits,freeCashflow,currentPrice,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,enterpriseToEbitda,fiftyTwoWeekChange,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,priceToSalesTrailing12Months,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,openPrice,averageVolume10days,regularMarketDayLow,currency,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,tradeable,bidSize,dayHigh,regularMarketPrice,logoUrl,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
Utilities,"1414 Degrees Limited offers thermal energy storage systems for networks and industries in Australia. It provides heat and electricity from renewable energy sources. The company was formerly known as Latent Heat Storage Pty Ltd. 1414 Degrees Limited was incorporated in 2009 and is based in Melrose Park, Australia.",Melrose Park,61 8 8357 8273,SA,Australia,https://1414degrees.com.au,1,136 Daws Road,Utilities—Independent Power Producers,0.04113,-0.35472,1.0,-2437138,,-0.92193,-3549904,none,,-6889958,0.082,5.899,-0.17237,4.173,-0.124460004,3549416,437167,3860267,0.018,AUD,0.019,5.785,ASX,1414DEGREE FPO,1414 Degrees Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,14D.AX,finmb_550418331,au_market,3.484,-3.789,-0.28695655,201984992,0.052,1656547200,0.0,-1369310,-0.039,-0.16598755,1.5769231,0.29102,1719705600,1656547200,136871406,1.379564,13450559,4,4.2905765,,0.083,0.082,0.08352,0.0,0.0,0.082,58363,0.083,0.08076,0.0,0.082,58363,0.082,AUD,8438,16562770,91046,0.082,0.08,163900,8438,0.125,0.058,0.071,False,1260000,0.082,0.082,https://logo.clearbit.com/1414degrees.com.au,,,,
Healthcare,"AdAlta Limited, a clinical stage biotechnology company, discovers and develops protein therapeutics in Australia. The company's lead i-body drug candidate includes AD-214, which is in Phase I clinical trials for the treatment of idiopathic pulmonary fibrosis and other fibrotic diseases. It has collaborative partnerships with GE Healthcare to discover i-bodies that bind to granzyme B; and Carina Biotech Pty Ltd. to develop CAR-T cell products against various solid tumor antigens. AdAlta Limited was incorporated in 2006 and is headquartered in Bundoora, Australia.",Bundoora,61 3 9479 5159,VIC,Australia,https://adalta.com.au,1,2 Park Drive,Biotechnology,-2.16653,-2.20111,0.90536004,-4088538,-0.362,-2.17855,-5965789,none,2493011,-2005254,0.04,2.912,-0.38068,74.425,-1.03036,8660556,4002953,2753621,0.028,AUD,0.01,2.843,ASX,ADALTA FPO,AdAlta Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,1AD.AX,finmb_61120709,au_market,2.873,-1.326,-0.5,314184992,0.017,1656547200,0.32818002,-6061015,-0.019,-0.16598755,2.352941,0.28749,1719705600,1656547200,135840917,0.551372,7909787,4,4.563954,-1.3333334,0.044,0.04,0.053,0.0,0.0,0.04,89247,0.044,0.04688,0.0,0.04,89247,0.04,AUD,300000,12567399,112147,0.04,0.044,5549800,300000,0.091,0.04,0.04,False,25215400,0.04,0.04,https://logo.clearbit.com/adalta.com.au,,,,
Energy,"Aurora Energy Metals Limited operates as an exploration company. It explores for uranium and lithium deposits. The company holds a 100% legal and beneficial interest in the Aurora Energy Metals Project comprising 207 granted mining claims in southeast Oregon, the United States. Aurora Energy Metals Limited was incorporated in 2015 and is based in Subiaco, Australia.",Subiaco,61 8 6465 5500,WA,Australia,https://www.auroraenergymetals.com,1,245 Churchill Avenue,Uranium,0.0,0.0,0.0,-1172946,,0.0,-1913794,none,,-457963,0.185,25.282,-0.31855,,-0.53155,7317279,0,,0.051,AUD,,25.282,ASX,AURORAENER FPO,Aurora Energy Metals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,1AE.AX,finmb_1776422441,au_market,,-9.962,-0.28846157,142611008,0.05,1656547200,0.11564,-1914296,-0.004,-0.16598755,3.7,0.49768,1719705600,1656547200,66744796,,19065754,4,,,0.165,0.17,0.21874243,0.0,0.0,0.185,214193,0.165,0.1931,0.0,0.17,214193,0.17,AUD,77182,26383036,157173,0.17,0.185,,77182,0.41,0.125,0.17,False,,0.185,0.185,https://logo.clearbit.com/auroraenergymetals.com,,,,
Financial Services,"Alterra Limited engages in the origination, development, and management of agricultural land and water assets in Australia. Its flagship project is the Carpenters project, which covers an area of 200 hectares of avocado development located in Pemberton, Western Australia. The company was formerly known as Carbon Conscious Limited and changed its name to Alterra Limited in March 2016. Alterra Limited was incorporated in 2008 and is based in Perth, Australia.",Perth,61 8 9204 8400,WA,Australia,https://alterra.com.au,1,150 St Georges Terrace,Asset Management,-2.44123,-2.75378,-2.02632,-2720660,-0.775,-2.6914701,-1325353,none,-1100098,-7259366,0.011,4.123,-0.03595,119.361,-0.14436,2345832,14959953,542903,0.003,AUD,0.001,3.818,ASX,ALTERRA FPO,Alterra Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,1AG.AX,finmb_42410058,au_market,37.327,-15.29,-0.6333333,696553024,0.018,1664496000,0.24904,-1495035,-0.006,-0.16598755,0.6111111,0.56105,1727654400,1664496000,203845585,0.459215,20265200,4,14.113172,,0.011,0.011,0.01474217,0.0,0.0,0.011,34394,0.011,0.01144,0.0,0.011,34394,0.011,AUD,275155,7662083,111994,0.011,0.014,5000000,275155,0.031,0.011,0.011,False,10425300,0.011,0.011,https://logo.clearbit.com/alterra.com.au,,,,
Basic Materials,"Morella Corporation Limited, an exploration and resource development company, focuses on the exploration and development of lithium and battery minerals in Australia and the United States. It operates through Exploration Services and Mineral Exploration segments. The company holds a 51% interest in the Mallina Lithium Project located within the northern Pilbara, Western Australia; and a 60% interest and right to acquire a 100% interest in the Fish Lake Valley Lithium Project located in Esmeralda County, west-central Nevada, the United States. It also provides drilling services primarily to mining and exploration companies. The company was formerly known as Altura Mining Limited and changed its name to Morella Corporation Limited in December 2021. Morella Corporation Limited was incorporated in 2000 and is based in West Perth, Australia.",West Perth,61 4 2959 6535,WA,Australia,https://www.morellacorp.com,1,680 Murray Street,Other Industrial Metals & Mining,0.0,-0.86323,0.37018,-2958237,9.17,-7.42922,-5793156,none,292051,-3154583,0.014,1.649,-0.42032,62.386,-0.032679997,7182668,3352946,788937,0.001,AUD,0.0,1.547,ASX,MORELLA FPO,Morella Corporation Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,1MC.AX,finmb_7652812,au_market,97.808,-13.32,-0.22222221,6098579968,0.001,1656547200,0.00219,-97886,0.013,-0.16598755,14.0,0.36543998,1719705600,1656547200,2367950724,0.589019,77164040,4,108.22172,,0.013,0.014,0.02249,0.0,0.0,0.014,10583001,0.013,0.01659,0.0,0.014,10583001,0.013,AUD,3075086,85380120,7867984,0.013,0.014,,3075086,0.045,0.011,0.013,False,,0.014,0.014,https://logo.clearbit.com/morellacorp.com,,,,
Healthcare,"1st Group Limited, together its subsidiaries, engages in the provision of healthcare and corporate online search and appointment booking services in Australia. It offers its services through MyHealth1st.com.au, a health services marketplace; PetYeti, an online pet service marketplace; and GoBookings.com, a corporate and government solutions SaaS platform. The company also provides integrated proprietary telehealth software and diagnostic devices that interface with medical record and medical practice systems. It serves pharmacies; private practices, such as doctors, dentists, optometrists, allied services, specialists, and natural therapists; vets; hospitals; and corporate and government agencies. The company was formerly known as 1st Available Ltd and changed its name to 1st Group Limited in December 2016. 1st Group Limited was incorporated in 2009 and is based in Sydney, Australia.",Sydney,1300 266 517,NSW,Australia,https://www.1stgrp.com,1,1-9 Buckingham Street,Health Information Services,-0.65761,-1.34075,0.18552,-2796956,-0.072,-0.66258,-3346011,none,943949,-1264263,0.009,1.043,-0.73616,,,2007121,4000000,5088167,0.002,AUD,0.01,0.85,ASX,1ST GROUP FPO,1st Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,1ST.AX,finmb_291707906,au_market,2.67,-4.06,-0.3076923,1288169984,-0.003,1656547200,0.3934,-6821939,-0.015,-0.16598755,,0.40444002,1719705600,1656547200,233236751,1.32549,13586443,4,2.2785275,,0.009,0.009,0.0086575,0.0,0.0,0.009,0,0.009,0.009,0.0,0.009,0,0.009,AUD,522032,11593529,29005,0.009,0.009,5000000,522032,0.015,0.003,0.008,False,70594300,0.009,0.009,https://logo.clearbit.com/1stgrp.com,,,,
Basic Materials,"29Metals Limited explores, develops, and produces copper focused base and precious metals. The company explores for copper, zinc, gold, and silver deposits. It holds interest in the Golden Grove property located in Western Australia; the Capricorn Copper property situated in Queensland; and the Redhill project located in southern Chile. The company was incorporated in 2021 and is headquartered in Melbourne, Australia.",Melbourne,61 3 7037 5300,VIC,Australia,https://www.29metals.com,1,150 Collins Street,Other Precious Metals & Mining,0.25697002,0.15636,0.18617001,143562000,0.972,0.11409,199520992,hold,136644000,,2.1,1.921,,30.005,,228728000,231504992,776451008,0.475,AUD,1.614,1.319,ASX,29METALS FPO,29Metals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,29M.AX,finmb_717667632,au_market,1.202,4.679,-0.33753943,481356000,1.604,1640908800,0.872,121403000,0.49,-0.16598755,1.3092269,0.027290002,1703980800,1656547200,261002752,,933572480,4,1.3018819,210.0,2.01,2.01,2.190575,0.0099502485,0.0,2.105,599551,2.01,2.2421,0.02,2.01,599551,2.01,AUD,582173,1010847552,1183711,2.01,2.1,,582173,3.35,1.165,2.06,False,,2.105,2.1,https://logo.clearbit.com/29metals.com,,,,
Industrials,"Tubi Limited, together with its subsidiaries, manufactures and sells high density polyethylene (HDPE) pipes in Australia, the United States, and New Zealand. The company's products include mobile modular extrusions, HDPEs, large bore reeling, stringing, HDPE 40bars, and corrugated pipes. Its products are used in irrigation, mining, shale gas and LNG, water infrastructure, pipe relining, and power sectors. The company is also involved in the construction and sale of mobile plants used in the manufacture of HDPE pipes for industrial use. Tubi Limited was founded in 1972 and is based in Paddington, Australia.",Paddington,61 2 9331 8725,NSW,Australia,https://www.tubigroup.com,1,2 Hopetoun Street,Specialty Industrial Machinery,-1.16275,-1.93422,0.23382,-2901527,-0.94,-2.55008,-2941838,none,1638933,-414490,0.049,0.248,-0.22811002,15.89,-0.3478,244700,2107298,2530057,0.001,AUD,0.008,0.078,ASX,TUBI FPO,Tubi Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,2BE.AX,finmb_613045020,au_market,6.793,-5.842,0.0,311307008,0.042,1625011200,0.0232,-4893699,-0.028,-0.16598755,1.1666666,0.65215,1688083200,1640908800,115768778,0.769812,17186270,4,6.02913,,0.049,0.049,0.049,0.0,0.0,0.049,0,0.049,0.049,0.0,0.049,0,0.049,AUD,50000,15254043,0,0.049,0.052,32521900,50000,0.049,0.049,0.049,False,1917200,0.049,0.049,https://logo.clearbit.com/tubigroup.com,,,,
Technology,"Life360, Inc. develops and delivers a mobile application in the United States and internationally. The company offers Life360 mobile application for families that provides location, driving, and digital safety, as well as emergency assistance services. It also offers Jiobit, a wearable location device for young children, pets, and seniors. The company was formerly known as LReady, Inc. and changed its name to Life360, Inc. in October 2011. Life360, Inc. was incorporated in 2007 and is headquartered in San Francisco, California.",San Francisco,209 581 1772,CA,United States,https://www.life360.com,1,539 Bryant Street,Software—Application,-0.46003,-0.49091998,0.67978996,-66709000,0.925,-0.4978,-88285000,buy,89875000,-14980250,4.92,1.13,-0.18608999,4.114,-0.40449002,43964000,8865000,191912000,0.235,USD,1.066,0.827,ASX,LIFE360 CDI FORUS,"Life360, Inc.",Australia/Sydney,AEDT,False,39600000,EQUITY,360.AX,finmb_81686581,au_market,4.611,-10.023,-0.4007308,186978000,1.153,1640908800,0.24927999,-94213000,-0.483,-0.16598755,4.2671294,0.10929,1703980800,1664496000,148717833,1.351396,884839808,4,4.7935085,-54.666664,4.97,5.05,4.8822,0.0,0.0,5.05,524169,4.97,5.9542,0.0,5.05,524169,4.88,AUD,223943,919931776,942920,4.88,4.93,280200,223943,8.87,2.41,4.92,False,41500,5.05,4.92,https://logo.clearbit.com/life360.com,,,,
Industrials,"Amaero International Ltd engages in the research, development, manufacture, and sale of laser-based metal additive products in Australia. It also provides research and development, contract manufacturing, tooling specialists, equipment sales and consumables, and training, services, and maintenance, as well as patented metal alloys. It serves the aviation, defense, automotive, and space sectors, as well as the tool and die industries. The company was founded in 2013 and is headquartered in Notting Hill, Australia.",Notting Hill,61 3 9905 9847,VIC,Australia,https://www.amaero.com.au,1,13 Normanby Road,Specialty Industrial Machinery,0.0,0.0,-0.24666001,-7958294,-0.077,-14.93674,-7853277,none,-140555,-7449009,0.135,6.495,-0.25948,37.169,-0.57827,11117957,5453005,569834,0.046,AUD,0.003,5.865,ASX,AMAEROINT FPO,Amaero International Ltd,Australia/Sydney,AEDT,False,39600000,EQUITY,3DA.AX,finmb_642038141,au_market,55.707,-4.042,-0.55,415460000,0.061,1656547200,0.39698002,-8621489,-0.038,-0.16598755,2.2131147,0.22007,1719705600,1656547200,103255890,1.935708,31743980,4,98.42709,2.7,0.135,0.14,0.16333,0.0,0.0,0.14,196339,0.135,0.09624,0.0,0.14,196339,0.135,AUD,12349,56087104,278457,0.135,0.14,1013800,12349,0.37,0.064,0.135,False,2297700,0.14,0.135,https://logo.clearbit.com/amaero.com.au,,,,
